date,clones,uniques
2026-06-05,15,8
2026-06-04,7,6
2026-06-03,31,14
2026-06-02,12,8
2026-06-01,94,37
2026-05-31,26,12
2026-05-30,20,10
2026-05-29,31,14
2026-05-28,22,14
2026-05-27,65,34
2026-05-26,43,17
2026-05-25,52,23
2026-05-24,12,6
2026-05-23,16,10
2026-05-22,19,8
2026-05-21,51,23
2026-05-20,84,39
2026-05-19,28,11
2026-05-18,9,8
2026-05-17,18,12
2026-05-16,24,14
2026-05-15,118,56
2026-05-14,18,8
2026-05-13,29,9
2026-05-12,61,24
2026-05-11,22,16
2026-05-10,14,10
2026-05-09,11,7
2026-05-08,37,17
2026-05-07,42,21
2026-05-06,9,5
2026-05-05,15,9
2026-05-04,18,9
2026-05-03,12,8
2026-05-02,50,19
2026-05-01,42,15
2026-04-30,26,9
2026-04-29,118,25
2026-04-28,42,15
2026-04-27,8,4
2026-04-26,69,22
2026-04-25,189,92
2026-04-24,352,131
2026-04-23,83,26
2026-04-22,285,82
2026-04-21,43,18
2026-04-20,67,22
2026-04-19,69,33
2026-04-18,66,34
2026-04-17,360,152
2026-04-16,91,35
2026-04-15,346,121
2026-04-14,17,10
2026-04-13,1,1
2026-04-12,5,5
2026-04-11,52,28
2026-04-10,92,43
2026-04-09,95,43
2026-04-08,25,18
2026-04-07,20,9
2026-04-06,1,1
2026-04-05,22,15
2026-04-04,3,3
2026-04-03,45,27
